ARQUETIPOS 27
1 3 1 3 2 2 2 1 0.500
1 2 2 1 1 3 1 3 0.833
2 1 3 2 1 2 1 4 0.875
2 3 2 3 1 2 1 3 0.833
3 3 1 2 2 3 2 3 0.833
3 1 3 2 1 2 1 1 0.500
1 3 2 3 3 1 3 3 0.833
2 2 2 2 2 1 2 3 0.833
3 2 2 1 3 1 3 1 0.500
1 1 3 2 3 3 3 1 0.500
1 2 2 3 1 3 1 1 0.500
2 1 2 1 3 3 3 2 0.750
3 1 2 1 3 2 3 4 0.875
2 2 3 1 3 3 3 2 0.750
3 3 1 2 3 1 3 3 0.833
2 2 1 2 2 2 2 1 0.500
1 3 1 1 2 2 2 3 0.833
2 1 1 1 3 1 3 1 0.500
3 1 3 3 2 3 2 1 0.500
1 3 3 1 3 2 3 2 0.750
1 3 2 1 1 3 1 1 0.500
1 3 3 1 2 2 2 2 0.750
2 3 3 3 3 3 3 1 0.500
2 3 1 1 3 3 3 2 0.750
2 2 2 2 2 2 2 2 0.750
1 2 2 3 1 1 1 1 0.500
3 1 2 1 3 3 3 1 0.500
3 2 3 3 3 3 3 3 0.833
1 3 2 3 3 2 3 2 0.750
1 1 3 3 2 3 2 1 0.500
1 2 2 2 3 1 3 2 0.750
3 3 3 2 2 2 2 1 0.500
1 3 3 1 1 3 1 1 0.500
2 2 2 2 2 3 2 3 0.833
3 1 1 1 3 2 3 3 0.833
1 3 3 2 1 2 1 3 0.833
3 3 3 2 1 2 1 2 0.750
3 3 2 2 3 3 3 2 0.750
2 3 1 3 3 2 3 2 0.750
2 2 2 1 1 3 1 2 0.750
1 1 3 1 3 2 3 1 0.500
1 3 2 1 3 2 3 2 0.750
2 1 2 1 2 1 2 2 0.750
2 3 3 2 1 1 1 1 0.500
3 3 3 1 2 3 2 1 0.500
3 3 2 1 2 3 2 1 0.500
1 1 3 3 1 3 1 2 0.750
1 3 2 2 2 2 2 3 0.833
1 2 1 2 3 1 3 1 0.500
1 2 1 1 3 3 3 2 0.750
1 2 3 1 1 1 1 3 0.833
1 2 3 3 3 1 3 4 0.875
3 1 3 3 3 3 3 4 0.875
2 2 2 3 2 2 2 4 0.875
2 2 2 2 1 3 1 1 0.500
3 1 2 3 2 2 2 1 0.500
2 1 1 3 2 2 2 1 0.500
1 1 1 3 2 1 2 1 0.500
3 3 1 1 3 2 3 2 0.750
3 3 3 3 3 2 3 1 0.500
3 1 3 1 1 3 1 2 0.750
2 1 3 2 2 1 2 2 0.750
3 2 2 2 2 3 2 1 0.500
1 3 1 3 1 3 1 4 0.875
3 2 2 2 3 1 3 1 0.500
3 2 1 1 1 1 1 1 0.500
1 3 2 3 2 1 2 2 0.750
3 3 2 3 1 3 1 2 0.750
1 2 3 3 1 3 1 3 0.833
2 2 1 3 2 1 2 4 0.875
2 2 3 2 1 3 1 3 0.833
3 1 3 3 3 2 3 3 0.833
2 3 1 3 2 1 2 2 0.750
1 1 1 3 3 1 3 1 0.500
3 2 1 3 1 3 1 1 0.500
3 1 3 2 2 1 2 2 0.750
3 2 1 3 3 2 3 4 0.875
3 3 2 1 3 3 3 2 0.750
3 2 1 1 2 3 2 2 0.750
3 3 1 1 2 3 2 4 0.875
3 1 3 2 1 3 1 3 0.833
3 3 3 1 3 1 3 1 0.500
2 2 1 3 3 1 3 2 0.750
1 1 3 2 1 3 1 1 0.500
3 3 3 1 1 3 1 2 0.750
1 2 3 3 2 2 2 1 0.500
2 1 3 1 1 3 1 2 0.750
1 3 1 2 3 2 3 3 0.833
3 3 1 3 3 1 3 2 0.750
2 2 1 2 2 1 2 3 0.833
3 3 1 1 1 1 1 1 0.500
2 1 1 1 2 3 2 1 0.500
3 2 3 2 2 2 2 1 0.500
3 2 2 3 3 2 3 2 0.750
3 3 1 1 3 1 3 1 0.500
2 3 2 3 2 1 2 3 0.833
2 2 1 2 2 3 2 2 0.750
1 1 1 2 3 2 3 2 0.750
1 2 3 2 2 3 2 1 0.500
3 3 2 1 3 1 3 1 0.500
3 2 1 2 2 1 2 2 0.750
